Sesotho	English
a	objectival concord
a	of (possessive concord)
a	subject concord
a	subject concord
a	which (relative conc.)
a	let
ha e na sehlooho	untitled
a mabe	bad (adj.)
a mabe	ugly (adj.)
a mafubedu	red (adj.)
a maholo	big (adj.)
a makaakang !	how big !
a makae ?	how big ?
a makae ?	how much ?
a makana ka	as big as (adj.)
a makgunong	light brown (adj.)
a makgutshwanyane	short (adj.)
a malelele	long (adj.)
a malelele	tall (adj.)
a mang	alone (adj.)
a mang	certain (adj.)
a mangata 	many (adj.)
a manyane; a manyenyane	little (adj.)
a manyane; a manyenyane	small (adj.)
a manyenyane	small (adj.)
a mapinki	pink (adj.)
a maputswa	blue (adj.)
a maputswa	grey (adj.)
a masehla	yellow (adj.)
a masesane	thin (adj.)
a masesane	tight (adj.)
a masootho	dark brown (adj.)
a masweu	white (adj.)
a matala	green (adj.)
a matenya	thick (adj.)
a matjha	new (adj.)
a tjhitja	round
a matle	beautiful (adj.)
a matle	good (adj.)
a matle	pretty (adj.)
a matona	male (adj.)
a matonana	huge (adj.)
a matshehadi	female (adj.)
a matshehadi	feminine (adj.)
a matsho	black (adj.)
a matsho	dark (adj.)
a tsitsitse	stable (adj.)
aa	demonstrative pronoun that
aba	allocate (v.)
aba	distribute (v.)
adima	borrow (v.)
adima	lend (v.)
adimilwe	lent (has been ...) (v.)
aene, diaene	iron (n.) (<Eng)
leqhwa, dileqhwa	ice (n.) (<Eng)
aesekerimi, diaesekerimi	ice cream (n.) (<Eng)
aesomethiri	isometry
afe ?	which ?
Afrika	Africa
Afrika Borwa	South Africa
Afrika	Africa
Afrika Borwa	South Africa
agente, diagente	agent
aha	live in (v.)
aha	settle (v.)
ahile	settled (v.)
ahlamolla	make wider (v.)
ahlola	arbitrate (v.)
ahlola	condemn (v.)
ahlola	convict (v.)
ahlola	judge (v.)
aka	kiss (v.)
akanya	assess (v.)
akanya	guess (v.)
akanya	imagine (v.)
akanyang	approximate
akaretsa 	summarise 
akaretsang	general
akere, diakere	arc (<Eng)
akga	throw (v.)
akgeha	faint (v.)
akgela	cast (v.)
akgela	throw in (v.)
akgelwa	cast (be ...) (v.)
akgetswe	cast (was ...) (v.)
akhademi, diakhademi	academy (<Eng)
akhaonte, diakhaonte	account (<Eng)
akhaontente, diakhaontente	accountant (<Eng)
ako	please
akofisa	accelerate (v.)
Aktiniamo	Actinium (Ac) [Element]
batalatsa mobu	level the ground (v.)
alama	brood (v.)
alamo, dialamo	alarm (<Eng)
